2026-02-26 18:46:57 UTC | SYS-PROBE | INFO | (comp/core/workloadmeta/collectors/internal/remote/generic.go:161 in func1) | unable to establish stream, will possibly retry: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp :5001: connect: connection refused"
2026-02-26 18:46:57 UTC | SYS-PROBE | INFO | (pkg/config/remote/client/client.go:459 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 3
2026-02-26 18:46:58 UTC | SYS-PROBE | INFO | (pkg/config/remote/client/client.go:459 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 4
2026-02-26 18:46:59 UTC | SYS-PROBE | WARN | (comp/core/tagger/impl-remote/remote.go:492 in run) | error received trying to start stream with target ":5001": rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp :5001: connect: connection refused"
2026-02-26 18:46:59 UTC | SYS-PROBE | INFO | (comp/core/workloadmeta/collectors/internal/remote/generic.go:161 in func1) | unable to establish stream, will possibly retry: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp :5001: connect: connection refused"
2026-02-26 18:46:59 UTC | SYS-PROBE | ERROR | (pkg/config/remote/client/client.go:457 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 5
2026-02-26 18:47:00 UTC | SYS-PROBE | ERROR | (pkg/networkpath/traceroute/runner/runner.go:96 in func1) | failed to get network ID: failed to get network ID after 4 attempts: could not detect network ID: EC2: GetNetworkID failed to get mac addresses: could not fetch token from IMDSv2: Put "http://169.254.169.254/latest/api/token": dial tcp 169.254.169.254:80: connect: connection refused
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/runtime/runtime.go:28 in func1) | runtime: set GOMAXPROCS to: 2
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (cmd/system-probe/subcommands/run/command.go:358 in startSystemProbe) | starting system-probe v7.75.4
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (cmd/system-probe/subcommands/run/command.go:466 in logUserAndGroupID) | current user id/name: 0/root
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (cmd/system-probe/subcommands/run/command.go:469 in logUserAndGroupID) | current group id/name: 0/root
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module ebpf disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module tcp_queue_length_tracer disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module oom_kill_probe disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module process disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module dynamic_instrumentation disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module language_detection disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module compliance disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module ping disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module traceroute disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module gpu disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:69 in Register) | module privileged_logs disabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/network/tracer/utils_linux.go:39 in IsTracerSupportedByOS) | running on platform: debian
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (cmd/system-probe/modules/network_tracer.go:49 in createNetworkTracerModule) | enabling network performance monitoring (NPM)
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/network/tracer/connection/ebpf_tracer.go:260 in newEbpfTracer) | loading kprobe-based tracer
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/network/tracer/ebpf_conntracker.go:174 in NewEBPFConntracker) | initialized ebpf conntracker
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/network/tracer/cilium_lb.go:119 in newCiliumLoadBalancerConntracker) | not loading cilium conntracker since cilium maps are not present
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/network/dns/snooper.go:70 in newSocketFilterSnooper) | DNS Stats Collection has been enabled. Maximum number of stats objects: 20000
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/network/dns/snooper.go:72 in newSocketFilterSnooper) | DNS domain collection has been enabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/network/dns/parser.go:92 in newDNSParser) | Recording dns query types: [A AAAA]
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/network/tracer/tracer.go:329 in newReverseDNS) | dns inspection enabled
2026-02-26 18:47:00 UTC | SYS-PROBE | INFO | (pkg/system-probe/api/module/loader.go:104 in Register) | module network_tracer started
2026-02-26 18:47:00 UTC | SYS-PROBE | WARN | (pkg/security/probe/config/config.go:321 in getBool) | runtime_security_config.network.enabled has been deprecated: please set event_monitoring_config.network.enabled instead
