        CONTAINER ID                                                                                     IMAGE                         COMMAND                        STATUS               PORTS                                                                                                             NAMES
        8e6710727238                   sha256:c3fcf259c473a57a5d7da116e29161904491091743512d27467c907c5516f856              "kube-apiserver …"                    Up 3 hours                  []                     [/k8s_kube-apiserver_kube-apiserver-pattykube_kube-system_7418e5e3a827586a02748ea0e6ae94d9_3]
        0bd7e1a6afb1                   sha256:271e49a0ebc56647476845128fcd2a73bb138beeca3878cc3bf52b4ff1172a57                        "etcd …"                    Up 3 hours                  []                                         [/k8s_etcd_etcd-pattykube_kube-system_54027e52158f0d328dd5b7459b430812_3]
        090527ec762d                   sha256:88898f1d1a62a3ea9db5d4d099dee7aa52ebe8191016c5b3c721388a309983e0     "kube-controller-manager …"                    Up 3 hours                  []   [/k8s_kube-controller-manager_kube-controller-manager-pattykube_kube-system_9bd1c70cf7e25111cd9189ce6a29e306_3]
        76d2e35e241b                   sha256:ddc8422d4d35a6fc66c34be61e24df795e5cebf197eb546f62740d0bafef874f              "kube-scheduler …"                    Up 3 hours                  []                     [/k8s_kube-scheduler_kube-scheduler-pattykube_kube-system_29a4db6f284853a1e9d61c9937943484_3]
        bf78898eb444                                                              registry.k8s.io/pause:3.10.1                        "/pause"                    Up 3 hours                  []                                [/k8s_POD_kube-apiserver-pattykube_kube-system_7418e5e3a827586a02748ea0e6ae94d9_3]
        76513e941b61                                                              registry.k8s.io/pause:3.10.1                        "/pause"                    Up 3 hours                  []                                          [/k8s_POD_etcd-pattykube_kube-system_54027e52158f0d328dd5b7459b430812_3]
        6beff1a14e2e                                                              registry.k8s.io/pause:3.10.1                        "/pause"                    Up 3 hours                  []                       [/k8s_POD_kube-controller-manager-pattykube_kube-system_9bd1c70cf7e25111cd9189ce6a29e306_3]
        296a804c2276                                                              registry.k8s.io/pause:3.10.1                        "/pause"                    Up 3 hours                  []                                [/k8s_POD_kube-scheduler-pattykube_kube-system_29a4db6f284853a1e9d61c9937943484_3]
        254e7b75e061                   sha256:de369f46c2ff55c31ea783a663eb203caa820f3db1f9b9c935e79e7d1e9fd9e5   "/usr/local/bin/kube-proxy …"       Exited (2) 45 hours ago                  []                             [/k8s_kube-proxy_kube-proxy-r4f7x_kube-system_72150617-7154-43b9-b149-1890f64e1f1d_2]
        b57d7e242322                   sha256:e08f4d9d2e6ede8185064c13b41f8eeee95b609c0ca93b6fe7509fe527c907cf                    "/coredns …"      Exited (255) 3 hours ago                  []                        [/k8s_coredns_coredns-7d764666f9-m99c8_kube-system_2595af7c-adbe-4e87-984c-759876340e8a_2]
