FD  Type Size      OpenPerm FilePerm            Name                                                                                                                                                                  
53  REG  4391418   r-       -rw-r-----          /var/lib/docker/containers/0bd7e1a6afb1f5bd193ee56f9762cc8d237d55a595392f3f439025a673ff237b/0bd7e1a6afb1f5bd193ee56f9762cc8d237d55a595392f3f439025a673ff237b-json.log 
54  REG  4041      r-       -rw-r-----          /var/lib/docker/containers/38c6f8ace85e9f4ac5eb7aeda57a927214daf0032ee005c12f8b7bddca16aaf3/38c6f8ace85e9f4ac5eb7aeda57a927214daf0032ee005c12f8b7bddca16aaf3-json.log 
55  REG  4942      r-       -rw-r-----          /var/lib/docker/containers/bfe490a19a9899c258ead6d159808472b2cd6e31ccfda6171e1f8a0fc61f0be3/bfe490a19a9899c258ead6d159808472b2cd6e31ccfda6171e1f8a0fc61f0be3-json.log 
56  REG  102739    r-       -rw-r-----          /var/lib/docker/containers/3ad202e411ec8c9a6bc9719a791f74de8a7ccee4b7a98e0fd4edf277ef8054b2/3ad202e411ec8c9a6bc9719a791f74de8a7ccee4b7a98e0fd4edf277ef8054b2-json.log 
57  REG  324204    r-       -rw-r-----          /var/lib/docker/containers/8e67107272384206fe3b447b3e87f74136ed39d71c93d7ab6d4afecef0fe6610/8e67107272384206fe3b447b3e87f74136ed39d71c93d7ab6d4afecef0fe6610-json.log 
59  REG  545128    r-       -rw-r-----          /var/lib/docker/containers/090527ec762d391fe1fe3c6bfd6cb8063f641ce8abd74a34ad1f12bb6405b49e/090527ec762d391fe1fe3c6bfd6cb8063f641ce8abd74a34ad1f12bb6405b49e-json.log 
60  tcp  0         rw       ESTABLISHED         127.0.0.1:44664->127.0.0.1:36811                                                                                                                                      
61  REG  0         r-       -rw-r-----          /var/lib/docker/containers/5684eab595ecf8c3e9f1baedbba4b4f17adaf7fff7e5582e1aa44ae413ffc211/5684eab595ecf8c3e9f1baedbba4b4f17adaf7fff7e5582e1aa44ae413ffc211-json.log 
62  REG  9035      r-       -rw-r-----          /var/lib/docker/containers/76d178d18d134e93cc02837fc4dd8bc1c869c8d125f69f588289e863e4b05dac/76d178d18d134e93cc02837fc4dd8bc1c869c8d125f69f588289e863e4b05dac-json.log 
63  REG  36300     r-       -rw-r-----          /var/lib/docker/containers/4840c015c792563e3a0f53ce0f9924ccef5db4ad4b6c4075e9ab2d478113c4a6/4840c015c792563e3a0f53ce0f9924ccef5db4ad4b6c4075e9ab2d478113c4a6-json.log 
64  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60638                                                                                                                                       
65  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60654                                                                                                                                       
66  tcp  0         rw       ESTABLISHED         127.0.0.1:5001->127.0.0.1:60658                                                                                                                                       
70  tcp  0         rw       ESTABLISHED         10.244.0.67:44296->3.233.158.43:443                                                                                                                                   
71  tcp  0         rw       ESTABLISHED         10.244.0.67:42282->3.233.158.44:443                                                                                                                                   
72  tcp  0         rw       ESTABLISHED         10.244.0.67:60482->10.244.0.41:6379                                                                                                                                   
73  tcp  0         rw       ESTABLISHED         10.244.0.67:33486->10.96.161.153:5005                                                                                                                                 
74  tcp  0         rw       ESTABLISHED         10.244.0.67:49124->3.233.158.143:443                                                                                                                                  
106 tcp  0         rw       ESTABLISHED         127.0.0.1:53672->127.0.0.1:6062                                                                                                                                       
107 tcp  0         rw       ESTABLISHED         127.0.0.1:59504->127.0.0.1:6000                                                                                                                                       
108 tcp  0         rw       ESTABLISHED         127.0.0.1:6000->127.0.0.1:59504                                                                                                                                       
mem REG  107732744 r-xp     -rwxr-xr-x          /opt/datadog-agent/bin/agent/agent                                                                                                                                    
mem REG  69080     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_asyncio.cpython-313-aarch64-linux-gnu.so                                                                      
